******************************************************************
* Optimized Ganymede Orbiter Trajectory (60s step)
******************************************************************
Title: Ganymede Orbiter Analysis
Planet: Jupiter
Coordinates: PEI
Columns: JDCT, X, Y, Z
Format: CSV
******************************************************************
$$BEGIN
2460311.165277778, 718689.054076, -716509.490864, -329414.252964
2460311.165972222, 719068.667336, -716114.398542, -329244.671680
2460311.166666667, 719449.001270, -715719.031377, -329078.455258
2460311.167361111, 719830.173793, -715323.389509, -328915.568194
2460311.168055556, 720212.301549, -714927.473083, -328755.970987
2460311.168750000, 720595.499785, -714531.282256, -328599.620179
2460311.169444445, 720979.882206, -714134.817195, -328446.468410
2460311.170138889, 721365.560853, -713738.078072, -328296.464465
2460311.170833333, 721752.645966, -713341.065072, -328149.553337
2460311.171527778, 722141.245858, -712943.778388, -328005.676287
2460311.172222222, 722531.466791, -712546.218221, -327864.770914
2460311.172916667, 722923.412847, -712148.384783, -327726.771222
2460311.173611111, 723317.185812, -711750.278294, -327591.607696
2460311.174305555, 723712.885054, -711351.898983, -327459.207385
2460311.175000000, 724110.607406, -710953.247089, -327329.493984
2460311.175694444, 724510.447055, -710554.322860, -327202.387917
2460311.176388889, 724912.495431, -710155.126551, -327077.806435
2460311.177083333, 725316.841097, -709755.658428, -326955.663710
2460311.177777778, 725723.569649, -709355.918767, -326835.870927
2460311.178472222, 726132.763615, -708955.907849, -326718.336398
2460311.179166667, 726544.502353, -708555.625966, -326602.965656
2460311.179861111, 726958.861962, -708155.073419, -326489.661572
2460311.180555556, 727375.915192, -707754.250517, -326378.324467
2460311.181250000, 727795.731357, -707353.157575, -326268.852221
2460311.181944444, 728218.376253, -706951.794919, -326161.140401
2460311.182638889, 728643.912079, -706550.162882, -326055.082375
2460311.183333333, 729072.397366, -706148.261804, -325950.569437
2460311.184027778, 729503.886906, -705746.092034, -325847.490936
2460311.184722222, 729938.431689, -705343.653927, -325745.734405
2460311.185416667, 730376.078838, -704940.947845, -325645.185688
2460311.186111111, 730816.871558, -704537.974159, -325545.729079
2460311.186805556, 731260.849080, -704134.733243, -325447.247449
2460311.187500000, 731708.046619, -703731.225482, -325349.622393
2460311.188194444, 732158.495330, -703327.451263, -325252.734358
2460311.188888889, 732612.222268, -702923.410982, -325156.462793
2460311.189583333, 733069.250361, -702519.105039, -325060.686280
2460311.190277778, 733529.598379, -702114.533840, -324965.282683
2460311.190972222, 733993.280912, -701709.697796, -324870.129289
2460311.191666667, 734460.308355, -701304.597323, -324775.102950
2460311.192361111, 734930.686891, -700899.232840, -324680.080232
2460311.193055556, 735404.418488, -700493.604772, -324584.937552
2460311.193750000, 735881.500895, -700087.713548, -324489.551329
2460311.194444444, 736361.927644, -699681.559599, -324393.798127
2460311.195138889, 736845.688056, -699275.143360, -324297.554799
2460311.195833333, 737332.767259, -698868.465268, -324200.698630
2460311.196527778, 737823.146200, -698461.525766, -324103.107483
2460311.197222222, 738316.801670, -698054.325293, -324004.659942
2460311.197916667, 738813.706332, -697646.864296, -323905.235451
2460311.198611111, 739313.828753, -697239.143220, -323804.714457
2460311.199305556, 739817.133439, -696831.162512, -323702.978550
2460311.200000000, 740323.580881, -696422.922618, -323599.910601
2460311.200694445, 740833.127599, -696014.423988, -323495.394896
2460311.201388889, 741345.726194, -695605.667069, -323389.317275
2460311.202083333, 741861.325405, -695196.652308, -323281.565264
2460311.202777778, 742379.870168, -694787.380152, -323172.028204
2460311.203472222, 742901.301682, -694377.851048, -323060.597378
2460311.204166667, 743425.557480, -693968.065438, -322947.166145
2460311.204861111, 743952.571499, -693558.023765, -322831.630055
2460311.205555555, 744482.274162, -693147.726469, -322713.886974
2460311.206250000, 745014.592454, -692737.173987, -322593.837204
2460311.206944444, 745549.450015, -692326.366753, -322471.383594
2460311.207638889, 746086.767225, -691915.305199, -322346.431657
2460311.208333333, 746626.461300, -691503.989751, -322218.889672
2460311.209027778, 747168.446386, -691092.420832, -322088.668800
2460311.209722222, 747712.633661, -690680.598862, -321955.683176
2460311.210416667, 748258.931441, -690268.524252, -321819.850012
2460311.211111111, 748807.245285, -689856.197413, -321681.089696
2460311.211805556, 749357.478103, -689443.618746, -321539.325874
2460311.212500000, 749909.530276, -689030.788650, -321394.485547
2460311.213194444, 750463.299764, -688617.707514, -321246.499147
2460311.213888889, 751018.682230, -688204.375723, -321095.300620
2460311.214583333, 751575.571159, -687790.793655, -320940.827501
2460311.215277778, 752133.857984, -687376.961679, -320783.020986
2460311.215972222, 752693.432208, -686962.880159, -320621.825994
2460311.216666667, 753254.181535, -686548.549449, -320457.191235
2460311.217361111, 753815.991999, -686133.969897, -320289.069267
2460311.218055556, 754378.748097, -685719.141840, -320117.416546
2460311.218750000, 754942.332920, -685304.065608, -319942.193479
2460311.219444444, 755506.628290, -684888.741523, -319763.364468
2460311.220138889, 756071.514895, -684473.169896, -319580.897946
2460311.220833333, 756636.872428, -684057.351029, -319394.766419
2460311.221527778, 757202.579724, -683641.285215, -319204.946491
2460311.222222222, 757768.514898, -683224.972737, -319011.418892
2460311.222916667, 758334.555492, -682808.413867, -318814.168502
2460311.223611111, 758900.578605, -682391.608867, -318613.184362
2460311.224305556, 759466.461046, -681974.557991, -318408.459690
2460311.225000000, 760032.079465, -681557.261477, -318199.991887
2460311.225694444, 760597.310502, -681139.719558, -317987.782540
2460311.226388889, 761162.030923, -680721.932453, -317771.837418
2460311.227083333, 761726.117768, -680303.900369, -317552.166465
2460311.227777778, 762289.448483, -679885.623504, -317328.783792
2460311.228472222, 762851.901071, -679467.102043, -317101.707655
2460311.229166667, 763413.354222, -679048.336160, -316870.960436
2460311.229861111, 763973.687460, -678629.326018, -316636.568617
2460311.230555556, 764532.781276, -678210.071769, -316398.562752
2460311.231250000, 765090.517267, -677790.573550, -316156.977427
2460311.231944445, 765646.778272, -677370.831490, -315911.851223
2460311.232638889, 766201.448506, -676950.845705, -315663.226672
2460311.233333333, 766754.413693, -676530.616298, -315411.150208
2460311.234027778, 767305.561197, -676110.143361, -315155.672111
2460311.234722222, 767854.780152, -675689.426976, -314896.846453
2460311.235416667, 768401.961587, -675268.467210, -314634.731035
2460311.236111111, 768946.998556, -674847.264120, -314369.387321
2460311.236805555, 769489.786255, -674425.817752, -314100.880365
2460311.237500000, 770030.222147, -674004.128140, -313829.278739
